FILE PATH,JS SELECTOR,ROW,TYPE,CLASSES,TRANSLATIONS STRINGS
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\attachment-component\dependencies\views\searchFilterCriteria.html,js--attachment_component-search_filter_criteria-criteria_item__date_to,73,oj-input-date,dateTo js--attachment_component-search_filter_criteria-criteria_item__date_to,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\attachment-component\dependencies\views\searchFilterCriteria.html,js--attachment_component-search_filter_criteria-criteria_item__date,81,oj-input-date,dateFrom js--attachment_component-search_filter_criteria-criteria_item__date,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\attachment-component\dependencies\views\searchFilterCriteria.html,js--search_filter_criteria-add_user_criteria,91,div,fsRB18 btn-AddFilter js--search_filter_criteria-add_user_criteria,('CMN.searchFilter.ADD')
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\attachment-component\dependencies\views\searchFilterCriteria.html,js--search_filter_criteria-user_criteria_remove_item,112,div,oj-flex-bar-end closeFilter js--search_filter_criteria-user_criteria_remove_item,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\attachment-component\dependencies\views\searchFilterCriteria.html,js--search_filter_criteria-user_criteria_clear,119,div,oj-flex-bar inlineItem btn-ClearFilter fsRBd16 clTurq js--search_filter_criteria-user_criteria_clear,"('CMN.searchFilter.clearFilter'),
                    visible: userCriteriaCount()"
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-limits\cc-limits-view.html,js--cc_limits_view--viewselectedplan,70,button,btn btn--size-lg btn--background-green js--cc_limits_view--viewselectedplan,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-limits\cc-limits-view.html,js--cc_limits_view--benefits-consulation,151,button,btn btn--icon btn--plain px-10 js--cc_limits_view--benefits-consulation,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-limits\cc-limits-view.html,js--cc_limits_view--consulation,170,button,btn btn--icon btn--plain px-10 js--cc_limits_view--consulation,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-limits\cc-limits-view.html,js--cc_limits_view--ipconsulation,189,button,btn btn--icon btn--plain px-10 js--cc_limits_view--ipconsulation,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\charts\chart.html,js--chart-wrapper,1,div,oj-flex rules-chart js--chart-wrapper,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\benefit\benefit.html,js--benefit-benefitdetails,29,button,arrow-down  oj-helper-margin-start-auto js--benefit-benefitdetails,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\benefit\benefit.html,js--benefit-firstpage,143,button,pagination-wrapper__action__button js--benefit-firstpage,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\benefit\benefit.html,js--benefit-pagination,149,ul,pagination-wrapper__list__items oj-flex oj-sm-flex-items-initial oj-sm-justify-content-center js--benefit-pagination,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\benefit\benefit.html,js--benefit-paginationbutton,156,button,pagination-wrapper__list__items__item__action js--benefit-paginationbutton,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\benefit\benefit.html,js--benefit-pagination-lastpage,167,button,pagination-wrapper__action__button js--benefit-pagination-lastpage,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\panel\panel.html,js--panel-expandall,7,button,rules-panel__expand-toggle__action rules-panel__expand-toggle__action js--panel-expandall,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\panel\panel.html,js--panel-collapseall,11,button,rules-panel__expand-toggle__action rules-panel__expand-toggle__action rules-panel__expand-toggle__action--collapse js--panel-collapseall,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\panel\panel.html,js--panel-slider-nav,375,ul,slider__navigation oj-sm-12 oj-flex js--panel-slider-nav,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\panel\panel.html,js--panel-slider-prev,377,button,slider__navigation__item__arrows slider__navigation__item__arrows--prev js--panel-slider-prev,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\panel\panel.html,js--panel-bullet,384,button,slider__navigation__item__steps oj-flex-item slider__navigation__item__steps--active js--panel-bullet,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\panel\panel.html,js--panel-bullet,389,button,slider__navigation__item__steps oj-flex-item js--panel-bullet,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\panel\panel.html,js--panel-slider-next,398,button,slider__navigation__item__arrows slider__navigation__item__arrows--next js--panel-slider-next,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\per-sub-panel\per-sub-panel.html,js--per_sub_panel-toggle-subpanel,25,button,arrow-down  oj-helper-margin-start-auto js--per_sub_panel-toggle-subpanel,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\per-sub-panel\per-sub-panel.html,js--per_sub_panel-panel-title,33,oj-label,js--per_sub_panel-panel-title,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\per-sub-panel\per-sub-panel.html,js--per_sub_panel-casesused,35,oj-select-one,js--per_sub_panel-casesused,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\plan\plan.html,js--plan-wrapper,1,div,panel panel--white js--plan-wrapper,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\plan\plan.html,js--plan-show-allplans,10,button,arrow-down oj-helper-margin-start-auto js--plan-show-allplans,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\plan\plan.html,js--plan-show-allplans,19,button,arrow-down arrow-down--active oj-helper-margin-start-auto js--plan-show-allplans,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\plan\plan.html,js--plan-view-plans,23,ul,view-plans-panel oj-sm-12 oj-flex js--plan-view-plans,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\plan\plan.html,js--plan-planselection,26,button,view-plans-panel__item__action js--plan-planselection,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\plan\plan.html,js--plan-viewselecten-plans,33,button,btn btn--size-md btn--background-green js--plan-viewselecten-plans,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\plan\plan.html,js--plan-benefit-selection,141,button,arrow-down oj-helper-margin-start-auto js--plan-benefit-selection,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\cc-view-member-rules\modules\plan\plan.html,js--plan-benefit-selection,155,button,arrow-down arrow-down--active oj-helper-margin-start-auto js--plan-benefit-selection,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-container,1,div,customFieldComposite js--custom_fields_view-container wc-enr-member-info,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-container_view_cf_panel,2,div,js--custom_fields-container_view_cf_panel,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-add_custom_field,7,div,custom-field-icon js--custom_fields_view-add_custom_field,('CMN.addCustomField')
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-add_custom_field_set,9,div,custom-field-icon js--custom_fields_view-add_custom_field_set,('CMN.manageCustomFieldSet')
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-search_custom_field,14,div,search-icon-white js--custom_fields_view-search_custom_field,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-search_by_cf,15,oj-select-one,custom-field-searchBy fsRR16_LS05 js--custom_fields_view-search_by_cf,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-select_field_name,18,oj-option,js--custom_fields_view-select_field_name,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-select_field_code,21,oj-option,js--custom_fields_view-select_field_code,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-sort_view_code_asc,44,div,sortColumnUp js--custom_fields_view-sort_view_code_asc,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-sort_view_code_desc,46,div,sortColumnDown js--custom_fields_view-sort_view_code_desc,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-sort_view_custom_field_name_asc_1,51,div,sortColumnUp js--custom_fields_view-sort_view_custom_field_name_asc_1,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-sort_view_custom_field_name_dsc_1,53,div,sortColumnDown js--custom_fields_view-sort_view_custom_field_name_dsc_1,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-sort_view_custom_field_name_asc_2,58,div,sortColumnUp js--custom_fields_view-sort_view_custom_field_name_asc_2,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-sort_view_custom_field_name_dsc_2,60,div,sortColumnDown js--custom_fields_view-sort_view_custom_field_name_dsc_2,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-custom_fields_paging_list,74,oj-list-view,custom-listview custom-listview-selected js--custom_fields_view-custom_fields_paging_list,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-text_to_update,113,oj-input-text,fCFData js--custom_fields_view-text_to_update,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-date_to_update,117,oj-input-date,fCFData js--custom_fields_view-date_to_update,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-number_to_update,122,oj-input-text,js--custom_fields_view-number_to_update,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-lov_to_update,127,oj-select-one,js--custom_fields_view-lov_to_update,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-open_cf_popup,144,div,oj-sm-align-self-start oj-sm-justify-content-flex-start deleteButton deleteIcon js--custom_fields-open_cf_popup,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-update_custom_field,147,oj-button,oj-button-xl saveButton js--custom_fields_view-update_custom_field,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-container_add_cf_panel,156,div,js--custom_fields-container_add_cf_panel,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-back_to_view_cf,161,div,oj-flex-item js--custom_fields-back_to_view_cf,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-add_cf_search_by,198,oj-select-one,oj-sm-030 js--custom_fields_view-add_cf_search_by,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-select_code,199,oj-option,js--custom_fields_view-select_code,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-select_description,202,oj-option,js--custom_fields_view-select_description,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-reset,216,button,btn btn--size-sm btn--outline btn--outline-green btn--outline btn--outline-slim btn--block js--custom_fields_view-reset,('CMN.reset')
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-search,219,button,btn btn--size-sm btn--outline btn--outline-green btn--outline btn--outline-slim btn--block js--custom_fields_view-search,('CMN.search')
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-sort_add_code_asc,316,div,fCFColumnUp js--custom_fields-sort_add_code_asc,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-sort_add_code_dsc,318,div,fCFColumnDown js--custom_fields-sort_add_code_dsc,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-sort_add_desc_asc,323,div,fCFColumnUp js--custom_fields-sort_add_desc_asc,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-add_desc_dsc,325,div,fCFColumnDown js--custom_fields-add_desc_dsc,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-add_custom_fields_list,335,oj-list-view,js--custom_fields_view-add_custom_fields_list,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-custom_fields_table,336,table,js--custom_fields_view-custom_fields_table,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-add_custom_field,356,oj-button,oj-button-xl addButton js--custom_fields_view-add_custom_field,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-container_add_value_cf_panel,368,div,js--custom_fields-container_add_value_cf_panel,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-back_to_add_cf,373,div,oj-flex-item js--custom_fields-back_to_add_cf,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-text,402,oj-input-text,fCFData js--custom_fields_view-text,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-date_notification_msg,405,oj-input-date,fCFData js--custom_fields_view-date_notification_msg,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-number,409,oj-input-text,js--custom_fields_view-number,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-lov,413,oj-select-one,js--custom_fields_view-lov,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-save_custom_field,432,oj-button,oj-button-xl saveButton js--custom_fields_view-save_custom_field,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-add_cf_set_panel,440,div,js--custom_fields-add_cf_set_panel,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-back_to_view_cf,445,div,oj-flex-item js--custom_fields-back_to_view_cf,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-add_cf_set_search_by,478,oj-select-one,js--custom_fields_view-add_cf_set_search_by,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-set_select_code,479,oj-option,js--custom_fields_view-set_select_code,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-set_select_description,482,oj-option,js--custom_fields_view-set_select_description,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-reset_set,505,button,btn btn--size-sm btn--outline btn--outline-green btn--block btn--outline-slim btn--block js--custom_fields_view-reset_set,('CMN.reset')
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-search_set,508,button,btn btn--size-sm btn--outline btn--outline-green btn--block btn--outline-slim btn--block js--custom_fields_view-search_set,('CMN.search')
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-sort_add_set_code_asc,628,div,fCFColumnUp js--custom_fields-sort_add_set_code_asc,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-sort_add_set_code_dsc,630,div,fCFColumnDown js--custom_fields-sort_add_set_code_dsc,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-sort_add_set_desc_asc,634,div,fCFColumnUp js--custom_fields-sort_add_set_desc_asc,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-sort_add_set_desc_dsc,636,div,fCFColumnDown js--custom_fields-sort_add_set_desc_dsc,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-add_custom_field_set_list,645,oj-list-view,alternate-color-customfields js--custom_fields_view-add_custom_field_set_list,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-add_cfset,661,oj-button,oj-button-xl addButton js--custom_fields_view-add_cfset,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-remove_cfset,664,oj-button,oj-button-xl removeButton removeButtonMargin js--custom_fields_view-remove_cfset,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-add_value_cf_panel,676,div,js--custom_fields-add_value_cf_panel,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-back_to_remove_cf_set,681,div,oj-flex-item js--custom_fields-back_to_remove_cf_set,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-sort_add_cf_set_code_asc,714,div,fCFColumnUp js--custom_fields-sort_add_cf_set_code_asc,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-sort_add_cf_set_code_dsc,716,div,fCFColumnDown js--custom_fields-sort_add_cf_set_code_dsc,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-sort_add_cf_set_desc_asc,719,div,fCFColumnUp js--custom_fields-sort_add_cf_set_desc_asc,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-sort_add_cf_set_desc_dsc,721,div,fCFColumnDown js--custom_fields-sort_add_cf_set_desc_dsc,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-set_paging_list,729,oj-list-view,alternate-color-customfields js--custom_fields_view-set_paging_list,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-toggle_help_text_selected_1,738,div,oj-flex-item oj-sm-2 border-right-CF js--custom_fields-toggle_help_text_selected_1,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-toggle_help_text_selected_2,741,div,oj-flex-item oj-sm-6 border-right-CF js--custom_fields-toggle_help_text_selected_2,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-code_text,746,oj-input-text,customInputText fCFData js--custom_fields_view-code_text,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-date_fcf_data,749,oj-input-date,fCFData fCFDataDate js--custom_fields_view-date_fcf_data,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-cfset_nbr,752,oj-input-text,customInputTextCFset js--custom_fields_view-cfset_nbr,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-domain_lov_values,755,oj-select-one,js--custom_fields_view-domain_lov_values,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-custom_field_value_readonly,761,oj-text-area,custom-field-list-textArea js--custom_fields_view-custom_field_value_readonly,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields-toggle_help_text_selected_3,765,div,oj-flex js--custom_fields-toggle_help_text_selected_3,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-save_cfset,780,oj-button,oj-button-xl saveButton js--custom_fields_view-save_cfset,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\custom-fields\custom-fields-view.html,js--custom_fields_view-delete_cfset,784,oj-button,oj-button-xl removeButton removeButtonMargin js--custom_fields_view-delete_cfset,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\declarations\declarations-view.html,js--declarations_view-custom_field_ui,1,div,custom-field-ui h-auto pb-10 js--declarations_view-custom_field_ui wc-enr-member-info,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\declarations\declarations-view.html,js--declarations_view-declaration_mode_add,6,div,js--declarations_view-declaration_mode_add,('CMN.declarationsView.addDeclaration')
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\declarations\declarations-view.html,js--declarations_view-declaration_mode_view,14,div,js--declarations_view-declaration_mode_view,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\declarations\declarations-view.html,js--declarations_view-filter_criteria_dp,28,oj-select-one,custom-field-searchBy fsRR16_LS05 js--declarations_view-filter_criteria_dp,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\declarations\declarations-view.html,js--declarations_view-declarations_state,42,oj-select-one,custom-field-searchBy fsRR16_LS05 miw-280 ml-10 js--declarations_view-declarations_state,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\declarations\declarations-view.html,js--declarations_view-view_container,50,div,custom-field-columns-div oj-flex pt-30 js--declarations_view-view_container,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\declarations\declarations-view.html,js--declarations_view-sort_description_asc,53,div,sortColumnUp js--declarations_view-sort_description_asc,('CMN.declarationsView.description')
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\declarations\declarations-view.html,js--declarations_view-sort_description_dsc,55,div,sortColumnDown js--declarations_view-sort_description_dsc,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\declarations\declarations-view.html,js--declarations_view-sort_declaration_date_asc,59,div,sortColumnUp js--declarations_view-sort_declaration_date_asc,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\declarations\declarations-view.html,js--declarations_view-sort_declaration_date_dsc,61,div,text-align-center js--declarations_view-sort_declaration_date_dsc,('CMN.declarationsView.declarationDate')
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\declarations\declarations-view.html,js--declarations_view-declaration_view_table,71,table,table table--search table--bordered table--striped table--declaration js--declarations_view-declaration_view_table,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\declarations\declarations-view.html,js--declarations_view-delete_selected_declaration,100,div,deleteAtt js--declarations_view-delete_selected_declaration,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\declarations\declarations-view.html,js--declarations_view-add,111,div,oj-flex js--declarations_view-add,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\declarations\declarations-view.html,js--custom_declarations_view-declarationdate_label,113,oj-label,textset__title_type30 js--custom_declarations_view-declarationdate_label,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\declarations\declarations-view.html,js--custom_declarations_view-declarationdate,113,span,js--custom_declarations_view-declarationdate,('CMN.declarationsView.declarationDate')
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\declarations\declarations-view.html,js--declarations_view-declaration_date,115,oj-input-date,date-input h-32 w-160 oj-inputdatetime-date-only oj-component oj-inputdatetime oj-form-control oj-required oj-complete js--declarations_view-declaration_date,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\declarations\declarations-view.html,js--custom_declarations_view-declarationtext,129,oj-label,textset__title_type30 js--custom_declarations_view-declarationtext,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\declarations\declarations-view.html,js--declarations_view-enter_declaration_description,131,oj-text-area,textarea transparent has--before js--declarations_view-enter_declaration_description,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\declarations\declarations-view.html,js--declarations_view-cancel,137,button,btn btn--size-sm btn--outline btn--outline-green btn--outline btn--outline-slim btn--block btn--rounded-2 js--declarations_view-cancel,"($data, 'view') , text: bundle.resolveValue('CMN.declarationsView.cancel')"
